Marker,Allele,LUS,CA_BSR,CA_FSR,CA_DSR
D8S1179,8,8,6,,
D8S1179,9,9,7,,
D8S1179,10,10,8,,
D8S1179,11,10.75539568,8.755395683,,
D8S1179,12,11.37414966,9.37414966,,
D8S1179,13,11.32014388,9.320143885,,
D8S1179,14,11.98553719,9.98553719,,
D8S1179,15,12.26804124,10.27491409,,
D8S1179,16,13.05940594,11.05940594,,
D8S1179,17,14.125,12.125,,
D8S1179,18,14.75,12.75,,
D21S11,24.2,9,1,,
D21S11,25.2,9,1,,
D21S11,26,8,0,,
D21S11,26.2,10,2,,
D21S11,27,8.9375,0.9375,,
D21S11,28,9.923753666,1.923753666,,
D21S11,28.2,8,0,,
D21S11,29,10.59574468,2.595744681,,
D21S11,29.2,9.333333333,1.333333333,,
D21S11,29.3,7,0,,
D21S11,30,11.19883041,3.198830409,,
D21S11,30.2,10.31111111,2.311111111,,
D21S11,30.3,6,0,,
D21S11,31,11.86746988,3.86746988,,
D21S11,31.2,11.1625,3.1625,,
D21S11,32,12.62068966,4.620689655,,
D21S11,32.2,11.98941799,3.989417989,,
D21S11,33,13.22222222,5.444444444,,
D21S11,33.1,6,0,,
D21S11,33.2,12.98529412,4.985294118,,
D21S11,34,10.6,4.4,,
D21S11,34.2,14,6,,
D21S11,35,8.75,1.25,,
D21S11,36,11.28571429,5.285714286,,
D21S11,37,11.5,6,,
D21S11,38,12,7,,
D21S11,39,13,8,,
D7S820,6,6,,,
D7S820,7,7,,,
D7S820,8,8,,,
D7S820,8.1,8,,,
D7S820,9,9,,,
D7S820,10,9.998363339,,,
D7S820,10.3,11,,,
D7S820,11,10.98971193,,,
D7S820,12,12,,,
D7S820,13,13,,,
D7S820,14,14,,,
CSF1PO,6,5.833333333,,,
CSF1PO,7,6.916666667,,,
CSF1PO,8,8,,,
CSF1PO,9,9,,,
CSF1PO,10,9.997920998,,,
CSF1PO,11,10.98589065,,,
CSF1PO,12,11.98879552,,,
CSF1PO,13,13,,,
CSF1PO,14,14,,,
CSF1PO,15,15,,,
D3S1358,11,8,,,
D3S1358,12,10,,,
D3S1358,13,10.33333333,,,
D3S1358,14,11.15469613,,,
D3S1358,15,12.21394612,,,
D3S1358,15.2,11,,,
D3S1358,16,12.94709898,,,
D3S1358,17,13.58628842,,,
D3S1358,18,14.10502283,,,
D3S1358,19,15,,,
D3S1358,20,16.5,,,
TH01,5,5,,,
TH01,6,6,,,
TH01,7,7,,,
TH01,8,8,,,
TH01,8.3,5,,,
TH01,9,8.997142857,,,
TH01,9.3,6,,,
TH01,10,10,,,
TH01,11,11,,,
D13S317,7,6.965945946,,,
D13S317,8,8.01,,,
D13S317,9,9.054054054,,,
D13S317,10,10.00819672,,,
D13S317,11,10.99667774,,,
D13S317,12,11.99208861,,,
D13S317,13,13,,,
D13S317,14,14,,,
D13S317,15,15,,,
D16S539,5,5,,,
D16S539,7,7,,,
D16S539,8,8,,,
D16S539,9,8.997032641,,,
D16S539,10,9.977678571,,,
D16S539,11,11,,,
D16S539,12,12,,,
D16S539,13,13,,,
D16S539,14,14,,,
D16S539,15,15,,,
D2S1338,15,10,11,,
D2S1338,16,10.72289157,12,,
D2S1338,17,11.03741497,13,,
D2S1338,18,11.70547945,13.95890411,,
D2S1338,19,12.22077922,14.95779221,,
D2S1338,20,12.52363636,15.45454545,,
D2S1338,21,12.67391304,15.65217391,,
D2S1338,22,12.82692308,15.76923077,,
D2S1338,23,13.22040816,16.18367347,,
D2S1338,24,14.08955224,17.01492537,,
D2S1338,25,14.94797688,18,,
D2S1338,26,15.9787234,19,,
D2S1338,27,16.75,20,,
D19S433,9,7,,,
D19S433,10,8,,,
D19S433,10.2,9,,,
D19S433,11,9,,,
D19S433,12,10,,,
D19S433,12.2,10.45945946,,,
D19S433,13,11,,,
D19S433,13.2,12,,,
D19S433,14,11.9952381,,,
D19S433,14.2,13,,,
D19S433,15,13,,,
D19S433,15.2,14,,,
D19S433,16,14,,,
D19S433,16.2,15,,,
D19S433,17,15,,,
D19S433,17.2,15.875,,,
D19S433,18,16,,,
D19S433,18.2,17,,,
vWA,11,7,,,
vWA,12,7,,,
vWA,13,8.285714286,,,
vWA,14,5.237373737,,,
vWA,15,10.40860215,,,
vWA,16,11.17610063,,,
vWA,17,12.08103131,,,
vWA,18,13.0080429,,,
vWA,19,13.86503067,,,
vWA,20,14.75,,,
vWA,21,15,,,
TPOX,5,5,,,
TPOX,6,6,,,
TPOX,7,7,,,
TPOX,8,8,,,
TPOX,9,9,,,
TPOX,10,10,,,
TPOX,11,10.99802372,,,
TPOX,12,12,,,
TPOX,13,13,,,
D18S51,9,9,,,
D18S51,10,10,,,
D18S51,11,11,,,
D18S51,12,12,,,
D18S51,13,13,,,
D18S51,13.2,13,,,
D18S51,14,13.93283582,,,
D18S51,14.2,14,,,
D18S51,15,14.98843931,,,
D18S51,15.2,15,,,
D18S51,16,16,,,
D18S51,16.2,16,,,
D18S51,17,17,,,
D18S51,18,18,,,
D18S51,19,19,,,
D18S51,20,19.78378378,,,
D18S51,21,21,,,
D18S51,21.2,20,,,
D18S51,22,22,,,
D18S51,23,23,,,
D18S51,24,24,,,
D18S51,28,28,,,
D5S818,7,7,,,
D5S818,8,8,,,
D5S818,9,9,,,
D5S818,10,10,,,
D5S818,11,11,,,
D5S818,12,12,,,
D5S818,13,12.77514793,,,
D5S818,14,13.65217391,,,
D5S818,15,14,,,
FGA,16.2,9,,,
FGA,17,9,,,
FGA,17.2,10,,,
FGA,18,10,,,
FGA,18.2,11,,,
FGA,19,11,,,
FGA,19.2,12,,,
FGA,20,12,,,
FGA,21,13,,,
FGA,21.2,14,,,
