Factor,Marker,Repeat_length,Dye,Model,Locus_specific,Parameter1,Parameter2,Parameter3,Parameter4
AE,D3S1358,4,B,Log-normal,TRUE,0.11127412,37.53563063,,
AE,vWA,4,B,Log-normal,TRUE,-0.043596988,28.14775483,,
AE,D16S539,4,B,Log-normal,TRUE,-0.120129511,32.20360062,,
AE,CSF1PO,4,B,Log-normal,TRUE,0.008902089,29.37678268,,
AE,TPOX,4,B,Log-normal,TRUE,-0.376987711,28.42532211,,
AE,D8S1179,4,G,Log-normal,TRUE,0.338328689,51.30888082,,
AE,D21S11,4,G,Log-normal,TRUE,0.132878459,33.52475685,,
AE,D18S51,4,G,Log-normal,TRUE,0.303146811,42.73801429,,
AE,D2S441,4,Y,Log-normal,TRUE,-0.108962362,38.03856623,,
AE,D19S433,4,Y,Log-normal,TRUE,-0.332618365,37.79491707,,
AE,TH01,4,Y,Log-normal,TRUE,-0.69558261,53.51556212,,
AE,FGA,4,Y,Log-normal,TRUE,-0.118678063,41.66196204,,
AE,D22S1045,3,R,Log-normal,TRUE,-0.058400747,30.78565658,,
AE,D5S818,4,R,Log-normal,TRUE,0.06070042,33.78133055,,
AE,D13S317,4,R,Log-normal,TRUE,0.238492544,40.03948389,,
AE,D7S820,4,R,Log-normal,TRUE,0.088359214,34.53825926,,
AE,SE33,4,R,Log-normal,TRUE,0.20023827,39.53462544,,
AE,D10S1248,4,P,Log-normal,TRUE,0.206132037,53.09754323,,
AE,D1S1656,4,P,Log-normal,TRUE,0.076581236,38.88584337,,
AE,D12S391,4,P,Log-normal,TRUE,-0.03005453,37.32104767,,
AE,D2S1338,4,P,Log-normal,TRUE,-0.28969211,61.78089295,,
Hb,D3S1358,4,B,Log-normal,TRUE,0.011330727,198.1780281,,
Hb,vWA,4,B,Log-normal,TRUE,-0.005534235,147.6003219,,
Hb,D16S539,4,B,Log-normal,TRUE,-0.025246045,122.646206,,
Hb,CSF1PO,4,B,Log-normal,TRUE,0.028408787,128.1985617,,
Hb,TPOX,4,B,Log-normal,TRUE,-0.032100031,139.1653515,,
Hb,D8S1179,4,G,Log-normal,TRUE,-0.033464546,203.3382532,,
Hb,D21S11,4,G,Log-normal,TRUE,0.021985612,156.6108448,,
Hb,D18S51,4,G,Log-normal,TRUE,0.003766641,181.9947107,,
Hb,D2S441,4,Y,Log-normal,TRUE,0.017823555,117.5485154,,
Hb,D19S433,4,Y,Log-normal,TRUE,-0.018120598,148.4228097,,
Hb,TH01,4,Y,Log-normal,TRUE,-0.01028336,111.2540076,,
Hb,FGA,4,Y,Log-normal,TRUE,0.009167576,137.3529635,,
Hb,D22S1045,3,R,Log-normal,TRUE,-0.028157356,139.314743,,
Hb,D5S818,4,R,Log-normal,TRUE,-0.00450312,162.4557889,,
Hb,D13S317,4,R,Log-normal,TRUE,0.019750884,187.4968598,,
Hb,D7S820,4,R,Log-normal,TRUE,-0.060531736,170.5281255,,
Hb,SE33,4,R,Log-normal,TRUE,-0.027254155,191.6762262,,
Hb,D10S1248,4,P,Log-normal,TRUE,-0.027977958,182.206935,,
Hb,D1S1656,4,P,Log-normal,TRUE,0.015292824,128.4713273,,
Hb,D12S391,4,P,Log-normal,TRUE,-0.018740478,222.5766679,,
Hb,D2S1338,4,P,Log-normal,TRUE,-0.033580691,254.1027014,,
BSR,D3S1358,4,B,LUS,TRUE,0.0094322,-0.046332794,27.07570611,
BSR,vWA,4,B,Allele,TRUE,0.011093118,-0.121942798,26.48586297,
BSR,D16S539,4,B,LUS,TRUE,0.008830418,-0.045417148,31.24162623,
BSR,CSF1PO,4,B,Allele,TRUE,0.008416983,-0.039420821,36.40609037,
BSR,TPOX,4,B,Allele,TRUE,0.005515244,-0.027847478,75.76447899,
BSR,D8S1179,4,G,Multi-seq,TRUE,0.006628207,0.051782426,161.8091256,10
BSR,D21S11,4,G,Multi-seq,TRUE,0.00846555,0.024835747,49.05508044,6
BSR,D18S51,4,G,Allele,TRUE,0.006912521,-0.036842336,40.803993,
BSR,D2S441,4,Y,LUS,TRUE,0.009538684,-0.049342872,109.3825435,
BSR,D19S433,4,Y,Allele,TRUE,0.007048538,-0.03488469,23.70872637,
BSR,TH01,4,Y,LUS,TRUE,0.006158478,-0.022670504,62.84002929,
BSR,FGA,4,Y,Allele,TRUE,0.007109236,-0.089303113,20.17293132,
BSR,D22S1045,3,R,LUS,TRUE,0.01332469,-0.082040214,43.07312218,
BSR,D5S818,4,R,Allele,TRUE,0.009010537,-0.046383846,30.97626208,
BSR,D13S317,4,R,Allele,TRUE,0.010514546,-0.065041305,126.1737794,
