Allele,D8S1179,D21S11,D7S820,CSF1PO,D3S1358,TH01,D13S317,D16S539,D2S1338,D19S433,vWA,TPOX,D18S51,D5S818,FGA
5,,,,,,0.001851852,,,,,,,,,
6,,,,,,0.223620881,,,,,,,,,
7,0.001851852,,0.003332099,0.010366531,,0.266938171,0.001851852,0.001851852,,,,0.001851852,,0.002961866,
8,,,0.126990004,0.001851852,,0.066641984,0.267308404,0.002221399,,,,0.454646427,,0.007034432,
9,0.001851852,,0.045908923,0.047019622,,0.398741207,0.129211403,0.353942984,,,,0.114402073,,0.086264347,
9.1,,,0.001851852,,,,,,,,,,,,
9.2,,,,,,,,,,0.001851852,,,,,
9.3,,,,,,0.035172158,,,,,,,,,
10,0.132913736,,0.219178082,0.223620881,,0.009255831,0.11514254,0.196964087,,,,0.363198815,0.002591633,0.201036653,
10.1,,,0.001851852,,,,,,,,,,,,
10.2,,,,,,,,,,0.001851852,,,,,
10.3,,,0.001851852,,,,,,,,,,,,
11,0.109218808,,0.328767123,0.208071085,,,0.221399482,0.187338023,,0.004072566,,0.363198815,0.004813032,0.292484265,
11.2,,,,,,,,,,0.001851852,,,,,
12,0.122917438,,0.235098112,0.418733802,0.002221399,,0.202517586,0.178822658,,0.040725657,,0.035912625,0.048130322,0.235468345,
12.2,,,,,,,,,,0.005553499,,,,,
13,0.225101814,,0.035172158,0.069233617,0.001851852,,0.051462421,0.07293595,,0.287671233,0.001851852,0.001851852,0.19955572,0.166975194,
13.2,,,,,,,,,,0.030359126,,,,,
14,0.205109219,,0.006293965,0.018141429,0.029248427,,0.013328397,0.008515365,,0.349870418,0.194372455,0.001851852,0.222510181,0.009255831,
14.2,,,,,,,,,,0.088485746,,,,,
15,0.134764902,,0.001851852,0.005553499,0.396149574,,0.001851852,0.001851852,,0.051092188,0.027027027,,0.168456127,0.001851852,
15.2,,,,,,,,,,0.11514254,,,,,
16,0.064420585,,,0.001851852,0.306553128,,,,0.008885598,0.005553499,0.184376157,,0.125879304,,
16.2,,,,,,,,,,0.019622362,,,,,
17,0.006664198,,,,0.199925953,,,,0.097741577,,0.282858201,,0.081821548,,0.003702332
17.1,,,,,,,,,,,,,0.001851852,,
17.2,,,,,,,,,,0.003332099,,,,,
18,0.001851852,,,,0.063680118,,,,0.159200296,0.001851852,0.225842281,,0.048500555,,0.021843762
19,,,,,0.003332099,,,,0.209181785,,0.074046649,,0.036653091,,0.067382451
20,,,,,,,,,0.105886709,,0.010366531,,0.022213995,,0.089226213
21,,,,,0.001851852,,,,0.015179563,,0.002961866,,0.01592003,,0.131062569
22,,,,,,,,,0.050721955,,0.001851852,,0.013328397,,0.20177712
22.2,,,,,,,,,,,,,,,0.002221399
23,,,,,,,,,0.146982599,,,,0.007774898,,0.205479452
23.2,,,,,,,,,,,,,,,0.005183265
24,,,,,,,,,0.108108108,,,,0.004072566,,0.15734913
24.2,,,,,,,,,,,,,,,0.001851852
25,,,,,,,,,0.061828952,,,,0.001851852,,0.073676416
25.2,,,,,,,,,,,,,,,0.002221399
26,,,,,,,,,0.029248427,,,,0.001851852,,0.032210292
27,,0.001851852,,,,,,,0.008885598,,,,0.001851852,,0.008145131
28,,0.042576823,,,,,,,0.002591633,,,,,,0.002591633
28.2,,0.005183265,,,,,,,,,,,,,
29,,0.246945576,,,,,,,,,,,,,
30,,0.337282488,,,,,,,,,,,,,
30.2,,0.004813032,,,,,,,,,,,,,
30.3,,0.001851852,,,,,,,,,,,,,
31,,0.103665309,,,,,,,,,,,,,
31.2,,0.071455017,,,,,,,,,,,,,
32,,0.019622362,,,,,,,,,,,,,
32.2,,0.119215106,,,,,,,,,,,,,
33,,0.002961866,,,,,,,,,,,,,
33.1,,0.002591633,,,,,,,,,,,,,
33.2,,0.040725657,,,,,,,,,,,,,
34,,0.001851852,,,,,,,,,,,,,
34.2,,0.004442799,,,,,,,,,,,,,
