Marker,Dye,Length_of_the_repeat_unit,Sex_chromosomal_marker,Allele,Size
D3S1358,B,4,,9,96.48
D3S1358,B,4,,10,100.64
D3S1358,B,4,,11,104.815
D3S1358,B,4,,12,108.84
D3S1358,B,4,,13,113.08
D3S1358,B,4,,14,117.065
D3S1358,B,4,,15,120.93
D3S1358,B,4,,16,125.055
D3S1358,B,4,,17,129.19
D3S1358,B,4,,18,133.225
D3S1358,B,4,,19,137.21
D3S1358,B,4,,20,141.53
vWA,B,4,,11,156.57
vWA,B,4,,12,160.65
vWA,B,4,,13,164.7
vWA,B,4,,14,168.95
vWA,B,4,,15,172.855
vWA,B,4,,16,176.885
vWA,B,4,,17,180.93
vWA,B,4,,18,184.99
vWA,B,4,,19,189.1
vWA,B,4,,20,193.18
vWA,B,4,,21,197.215
vWA,B,4,,22,201.235
vWA,B,4,,23,205.105
vWA,B,4,,24,209.42
D16S539,B,4,,5,227.36
D16S539,B,4,,8,239.535
D16S539,B,4,,9,243.675
D16S539,B,4,,10,247.8
D16S539,B,4,,11,251.84
D16S539,B,4,,12,255.82
D16S539,B,4,,13,259.78
D16S539,B,4,,14,263.805
D16S539,B,4,,15,267.84
CSF1PO,B,4,,6,283.215
CSF1PO,B,4,,7,287.19
CSF1PO,B,4,,8,291.16
CSF1PO,B,4,,9,295.125
CSF1PO,B,4,,10,299.065
CSF1PO,B,4,,11,302.97
CSF1PO,B,4,,12,306.905
CSF1PO,B,4,,13,310.895
CSF1PO,B,4,,14,314.945
CSF1PO,B,4,,15,319.175
TPOX,B,4,,5,338.405
TPOX,B,4,,6,342.455
TPOX,B,4,,7,346.59
TPOX,B,4,,8,350.615
TPOX,B,4,,9,354.685
TPOX,B,4,,10,358.74
TPOX,B,4,,11,362.775
TPOX,B,4,,12,366.785
TPOX,B,4,,13,370.805
TPOX,B,4,,14,374.805
TPOX,B,4,,15,378.81
Yindel,G,,yes,1,81.075
Yindel,G,,yes,2,86.345
AMEL,G,,yes,X,98.6
AMEL,G,,yes,Y,104.68
D8S1179,G,4,,5,114.165
D8S1179,G,4,,6,118.14
D8S1179,G,4,,7,122.105
D8S1179,G,4,,8,126.1
D8S1179,G,4,,9,130.12
D8S1179,G,4,,10,134.18
D8S1179,G,4,,11,138.255
D8S1179,G,4,,12,142.38
D8S1179,G,4,,13,146.625
D8S1179,G,4,,14,150.77
D8S1179,G,4,,15,154.915
D8S1179,G,4,,16,159.075
D8S1179,G,4,,17,163.175
D8S1179,G,4,,18,167.245
D8S1179,G,4,,19,171.315
D21S11,G,4,,24,183.015
D21S11,G,4,,24.2,185.1
D21S11,G,4,,25,187.14
D21S11,G,4,,26,191.25
D21S11,G,4,,27,195.38
D21S11,G,4,,28,199.425
D21S11,G,4,,28.2,201.415
D21S11,G,4,,29,203.375
D21S11,G,4,,29.2,205.415
D21S11,G,4,,30,207.4
D21S11,G,4,,30.2,209.375
D21S11,G,4,,31,211.41
D21S11,G,4,,31.2,213.37
D21S11,G,4,,32,215.44
D21S11,G,4,,32.2,217.475
D21S11,G,4,,33,219.57
D21S11,G,4,,33.2,221.55
D21S11,G,4,,34,223.685
D21S11,G,4,,34.2,225.625
D21S11,G,4,,35,227.715
D21S11,G,4,,35.2,229.68
D21S11,G,4,,36,231.705
D21S11,G,4,,37,235.795
D21S11,G,4,,38,239.765
D18S51,G,4,,7,261.25
D18S51,G,4,,9,269.36
D18S51,G,4,,10,273.43
D18S51,G,4,,10.2,275.435
D18S51,G,4,,11,277.5
D18S51,G,4,,12,281.525
D18S51,G,4,,13,285.535
D18S51,G,4,,13.2,287.51
D18S51,G,4,,14,289.545
D18S51,G,4,,14.2,291.52
D18S51,G,4,,15,293.55
D18S51,G,4,,16,297.555
D18S51,G,4,,17,301.52
D18S51,G,4,,18,305.495
D18S51,G,4,,19,309.505
D18S51,G,4,,20,313.56
D18S51,G,4,,21,317.805
D18S51,G,4,,22,322.08
D18S51,G,4,,23,326.13
D18S51,G,4,,24,330.22
D18S51,G,4,,25,334.29
D18S51,G,4,,26,338.325
D18S51,G,4,,27,342.4
DYS391,G,4,yes,7,365.15
DYS391,G,4,yes,8,369.23
DYS391,G,4,yes,9,373.23
DYS391,G,4,yes,10,377.22
DYS391,G,4,yes,11,381.255
DYS391,G,4,yes,12,385.25
DYS391,G,4,yes,13,389.335
D2S441,Y,4,,8,76.575
D2S441,Y,4,,9,80.725
D2S441,Y,4,,10,84.86
D2S441,Y,4,,11,88.995
D2S441,Y,4,,11.3,92.17
D2S441,Y,4,,12,93.105
D2S441,Y,4,,13,97.045
D2S441,Y,4,,14,101.175
D2S441,Y,4,,15,105.33
D2S441,Y,4,,16,109.455
D2S441,Y,4,,17,113.665
D19S433,Y,4,,6,118.535
D19S433,Y,4,,7,122.335
D19S433,Y,4,,8,126.155
D19S433,Y,4,,9,130
D19S433,Y,4,,10,133.875
D19S433,Y,4,,11,137.76
D19S433,Y,4,,12,141.7
D19S433,Y,4,,12.2,143.715
D19S433,Y,4,,13,145.68
D19S433,Y,4,,13.2,147.69
D19S433,Y,4,,14,149.665
D19S433,Y,4,,14.2,151.67
D19S433,Y,4,,15,153.64
D19S433,Y,4,,15.2,155.66
D19S433,Y,4,,16,157.63
D19S433,Y,4,,16.2,159.645
D19S433,Y,4,,17,161.59
D19S433,Y,4,,17.2,163.6
D19S433,Y,4,,18.2,167.645
D19S433,Y,4,,19.2,171.565
TH01,Y,4,,4,179.205
TH01,Y,4,,5,183.245
TH01,Y,4,,6,187.325
TH01,Y,4,,7,191.385
TH01,Y,4,,8,195.425
TH01,Y,4,,9,199.465
TH01,Y,4,,9.3,202.5
TH01,Y,4,,10,203.4
TH01,Y,4,,11,207.36
TH01,Y,4,,13.3,218.405
FGA,Y,4,,13,223.465
FGA,Y,4,,14,227.5
FGA,Y,4,,15,231.53
FGA,Y,4,,16,235.56
FGA,Y,4,,17,239.575
FGA,Y,4,,18,243.685
FGA,Y,4,,19,247.785
FGA,Y,4,,20,251.805
FGA,Y,4,,21,255.765
FGA,Y,4,,22,259.685
FGA,Y,4,,23,263.7
FGA,Y,4,,24,267.69
FGA,Y,4,,25,271.745
FGA,Y,4,,26,275.765
FGA,Y,4,,26.2,277.8
FGA,Y,4,,27,279.74
FGA,Y,4,,28,283.71
FGA,Y,4,,29,287.71
FGA,Y,4,,30,291.72
FGA,Y,4,,30.2,293.495
FGA,Y,4,,31.2,297.46
FGA,Y,4,,32.2,301.41
FGA,Y,4,,33.2,305.34
FGA,Y,4,,42.2,342.145
FGA,Y,4,,43.2,346.22
FGA,Y,4,,44.2,350.29
FGA,Y,4,,45.2,354.38
FGA,Y,4,,46.2,358.32
FGA,Y,4,,47.2,362.33
FGA,Y,4,,48.2,366.41
FGA,Y,4,,50.2,374.365
FGA,Y,4,,51.2,378.365
D22S1045,R,3,,8,88.31
D22S1045,R,3,,9,91.305
D22S1045,R,3,,10,94.295
D22S1045,R,3,,11,97.285
D22S1045,R,3,,12,100.285
D22S1045,R,3,,13,103.32
D22S1045,R,3,,14,106.33
D22S1045,R,3,,15,109.335
D22S1045,R,3,,16,112.315
D22S1045,R,3,,17,115.25
D22S1045,R,3,,18,118.115
D22S1045,R,3,,19,120.99
D5S818,R,4,,7,138.59
D5S818,R,4,,8,142.645
D5S818,R,4,,9,146.745
D5S818,R,4,,10,150.895
D5S818,R,4,,11,155
D5S818,R,4,,12,159.105
D5S818,R,4,,13,163.15
D5S818,R,4,,14,167.185
D5S818,R,4,,15,171.21
D5S818,R,4,,16,175.235
D5S818,R,4,,17,179.26
D5S818,R,4,,18,183.335
D13S317,R,4,,5,198.975
D13S317,R,4,,6,202.955
D13S317,R,4,,7,206.915
D13S317,R,4,,8,210.97
D13S317,R,4,,9,214.985
D13S317,R,4,,10,219.085
D13S317,R,4,,11,223.145
D13S317,R,4,,12,227.245
D13S317,R,4,,13,231.2
D13S317,R,4,,14,235.165
