Marker,Dye,Length_of_the_repeat_unit,Sex_chromosomal_marker,Allele,Size
D8S1179,B,4,,8,122.55
D8S1179,B,4,,9,126.62
D8S1179,B,4,,10,130.71
D8S1179,B,4,,11,134.845
D8S1179,B,4,,12,139.035
D8S1179,B,4,,13,143.63
D8S1179,B,4,,14,148.085
D8S1179,B,4,,15,152.485
D8S1179,B,4,,16,156.78
D8S1179,B,4,,17,160.985
D8S1179,B,4,,18,165.075
D8S1179,B,4,,19,169.15
D21S11,B,4,,24,184.435
D21S11,B,4,,24.2,186.42
D21S11,B,4,,25,188.375
D21S11,B,4,,26,192.305
D21S11,B,4,,27,196.245
D21S11,B,4,,28,200.095
D21S11,B,4,,28.2,202.065
D21S11,B,4,,29,204.055
D21S11,B,4,,29.2,206.11
D21S11,B,4,,30,208.085
D21S11,B,4,,30.2,210.06
D21S11,B,4,,31,212.08
D21S11,B,4,,31.2,214.065
D21S11,B,4,,32,216.075
D21S11,B,4,,32.2,218.06
D21S11,B,4,,33,220.075
D21S11,B,4,,33.2,222.015
D21S11,B,4,,34,224.15
D21S11,B,4,,34.2,226.06
D21S11,B,4,,35,228.135
D21S11,B,4,,35.2,230.06
D21S11,B,4,,36,232.055
D21S11,B,4,,37,236.125
D21S11,B,4,,38,240.07
D7S820,B,4,,6,255.135
D7S820,B,4,,7,259.175
D7S820,B,4,,8,263.205
D7S820,B,4,,9,267.24
D7S820,B,4,,10,271.295
D7S820,B,4,,11,275.34
D7S820,B,4,,12,279.395
D7S820,B,4,,13,283.435
D7S820,B,4,,14,287.49
D7S820,B,4,,15,291.565
CSF1PO,B,4,,6,304.055
CSF1PO,B,4,,7,308.105
CSF1PO,B,4,,8,312.15
CSF1PO,B,4,,9,316.19
CSF1PO,B,4,,10,320.24
CSF1PO,B,4,,11,324.29
CSF1PO,B,4,,12,328.345
CSF1PO,B,4,,13,332.4
CSF1PO,B,4,,14,336.44
CSF1PO,B,4,,15,340.475
D3S1358,G,4,,12,111.17
D3S1358,G,4,,13,115.275
D3S1358,G,4,,14,119.255
D3S1358,G,4,,15,123.18
D3S1358,G,4,,16,127.365
D3S1358,G,4,,17,131.58
D3S1358,G,4,,18,135.675
D3S1358,G,4,,19,139.765
TH01,G,4,,4,162.745
TH01,G,4,,5,166.81
TH01,G,4,,6,170.845
TH01,G,4,,7,174.865
TH01,G,4,,8,178.87
TH01,G,4,,9,182.855
TH01,G,4,,9.3,185.87
TH01,G,4,,10,186.8
TH01,G,4,,11,190.74
TH01,G,4,,12,201.515
D13S317,G,4,,8,216.42
D13S317,G,4,,9,220.41
D13S317,G,4,,10,224.385
D13S317,G,4,,11,228.38
D13S317,G,4,,12,232.485
D13S317,G,4,,13,236.365
D13S317,G,4,,14,240.305
D13S317,G,4,,15,244.3
D16S539,G,4,,5,252.08
D16S539,G,4,,8,264.075
D16S539,G,4,,9,268.07
D16S539,G,4,,10,272.075
D16S539,G,4,,11,276.095
D16S539,G,4,,12,280.105
D16S539,G,4,,13,284.135
D16S539,G,4,,14,288.155
D16S539,G,4,,15,292.19
D2S1338,G,4,,15,306.33
D2S1338,G,4,,16,310.41
D2S1338,G,4,,17,314.46
D2S1338,G,4,,18,318.515
D2S1338,G,4,,19,322.575
D2S1338,G,4,,20,326.625
D2S1338,G,4,,21,330.7
D2S1338,G,4,,22,334.755
D2S1338,G,4,,23,338.795
D2S1338,G,4,,24,342.82
D2S1338,G,4,,25,346.85
D2S1338,G,4,,26,350.83
D2S1338,G,4,,27,354.75
