Marker,Dye,Length_of_the_repeat_unit,Sex_chromosomal_marker,Allele,Size
D8S1179,B,4,,8,123.29
D8S1179,B,4,,9,127.32
D8S1179,B,4,,10,131.41
D8S1179,B,4,,11,135.49
D8S1179,B,4,,12,139.73
D8S1179,B,4,,13,144.25
D8S1179,B,4,,14,148.71
D8S1179,B,4,,15,153.16
D8S1179,B,4,,16,157.51
D8S1179,B,4,,17,161.72
D8S1179,B,4,,18,165.84
D8S1179,B,4,,19,169.92
D21S11,B,4,,24,184.86
D21S11,B,4,,24.2,186.82
D21S11,B,4,,25,188.77
D21S11,B,4,,26,192.69
D21S11,B,4,,27,196.56
D21S11,B,4,,28,200.41
D21S11,B,4,,28.2,202.36
D21S11,B,4,,29,204.32
D21S11,B,4,,29.2,206.31
D21S11,B,4,,30,208.29
D21S11,B,4,,30.2,210.24
D21S11,B,4,,31,212.23
D21S11,B,4,,31.2,214.14
D21S11,B,4,,32,216.14
D21S11,B,4,,32.2,218.1
D21S11,B,4,,33,220.14
D21S11,B,4,,33.2,222.07
D21S11,B,4,,34,224.1
D21S11,B,4,,34.2,226.02
D21S11,B,4,,35,228.07
D21S11,B,4,,35.2,230.01
D21S11,B,4,,36,232.04
D21S11,B,4,,37,236
D21S11,B,4,,38,239.94
D7S820,B,4,,6,255.15
D7S820,B,4,,7,259.21
D7S820,B,4,,8,263.24
D7S820,B,4,,9,267.26
D7S820,B,4,,10,271.32
D7S820,B,4,,11,275.35
D7S820,B,4,,12,279.42
D7S820,B,4,,13,283.42
D7S820,B,4,,14,287.48
D7S820,B,4,,15,291.58
CSF1PO,B,4,,6,304.69
CSF1PO,B,4,,7,309.01
CSF1PO,B,4,,8,313.3
CSF1PO,B,4,,9,317.55
CSF1PO,B,4,,10,321.97
CSF1PO,B,4,,11,325.86
CSF1PO,B,4,,12,329.97
CSF1PO,B,4,,13,334
CSF1PO,B,4,,14,338.04
CSF1PO,B,4,,15,341.84
D3S1358,G,4,,12,111.96
D3S1358,G,4,,13,116.04
D3S1358,G,4,,14,119.99
D3S1358,G,4,,15,123.89
D3S1358,G,4,,16,128.06
D3S1358,G,4,,17,132.24
D3S1358,G,4,,18,136.3
D3S1358,G,4,,19,140.43
TH01,G,4,,4,163.29
TH01,G,4,,5,167.36
TH01,G,4,,6,171.4
TH01,G,4,,7,175.4
TH01,G,4,,8,179.38
TH01,G,4,,9,183.36
TH01,G,4,,9.3,186.93
TH01,G,4,,10,187.29
TH01,G,4,,11,191.23
TH01,G,4,,13.3,201.94
D13S317,G,4,,8,216.87
D13S317,G,4,,9,220.83
D13S317,G,4,,10,224.77
D13S317,G,4,,11,228.88
D13S317,G,4,,12,232.81
D13S317,G,4,,13,236.68
D13S317,G,4,,14,240.69
D13S317,G,4,,15,244.68
D16S539,G,4,,5,252.37
D16S539,G,4,,8,264.3
D16S539,G,4,,9,268.32
D16S539,G,4,,10,272.32
D16S539,G,4,,11,276.37
D16S539,G,4,,12,280.37
D16S539,G,4,,13,284.34
D16S539,G,4,,14,288.44
D16S539,G,4,,15,292.51
D2S1338,G,4,,15,307.3
D2S1338,G,4,,16,311.65
D2S1338,G,4,,17,315.91
D2S1338,G,4,,18,320.16
D2S1338,G,4,,19,324.34
D2S1338,G,4,,20,328.44
D2S1338,G,4,,21,332.58
D2S1338,G,4,,22,336.62
D2S1338,G,4,,23,340.57
D2S1338,G,4,,24,344.18
D2S1338,G,4,,25,347.78
D2S1338,G,4,,26,351.39
D2S1338,G,4,,27,355.08
D2S1338,G,4,,28,358.77
D19S433,Y,4,,9,101.99
D19S433,Y,4,,10,105.88
D19S433,Y,4,,11,109.78
D19S433,Y,4,,12,113.64
D19S433,Y,4,,12.2,115.61
D19S433,Y,4,,13,117.56
D19S433,Y,4,,13.2,119.55
D19S433,Y,4,,14,121.46
D19S433,Y,4,,14.2,123.47
D19S433,Y,4,,15,125.45
D19S433,Y,4,,15.2,127.43
D19S433,Y,4,,16,129.44
D19S433,Y,4,,16.2,131.46
D19S433,Y,4,,17,133.42
D19S433,Y,4,,17.2,135.44
vWA,Y,4,,11,154.59
vWA,Y,4,,12,158.87
vWA,Y,4,,13,163
vWA,Y,4,,14,167.27
vWA,Y,4,,15,171.15
vWA,Y,4,,16,175.15
vWA,Y,4,,17,179.15
vWA,Y,4,,18,183.08
vWA,Y,4,,19,187
vWA,Y,4,,20,190.93
vWA,Y,4,,21,194.8
vWA,Y,4,,22,198.62
vWA,Y,4,,23,202.44
vWA,Y,4,,24,206.69
TPOX,Y,4,,6,222.07
TPOX,Y,4,,7,226.02
TPOX,Y,4,,8,229.91
TPOX,Y,4,,9,233.86
TPOX,Y,4,,10,237.88
TPOX,Y,4,,11,241.83
TPOX,Y,4,,12,245.77
TPOX,Y,4,,13,249.78
D18S51,Y,4,,7,262.07
D18S51,Y,4,,9,270.22
D18S51,Y,4,,10,274.34
D18S51,Y,4,,10.2,276.36
D18S51,Y,4,,11,278.41
D18S51,Y,4,,12,282.49
D18S51,Y,4,,13,286.57
D18S51,Y,4,,13.2,288.63
D18S51,Y,4,,14,290.77
D18S51,Y,4,,14.2,292.78
D18S51,Y,4,,15,294.91
D18S51,Y,4,,16,299.07
D18S51,Y,4,,17,303.5
D18S51,Y,4,,18,307.94
D18S51,Y,4,,19,312.4
D18S51,Y,4,,20,316.71
D18S51,Y,4,,21,320.99
D18S51,Y,4,,22,325.24
D18S51,Y,4,,23,329.4
D18S51,Y,4,,24,333.54
D18S51,Y,4,,25,337.67
D18S51,Y,4,,26,341.56
D18S51,Y,4,,27,345.24
AMEL,R,,yes,X,107.02
AMEL,R,,yes,Y,112.61
D5S818,R,4,,7,134.14
D5S818,R,4,,8,138.21
D5S818,R,4,,9,142.56
D5S818,R,4,,10,147.02
D5S818,R,4,,11,151.31
D5S818,R,4,,12,155.63
D5S818,R,4,,13,159.81
D5S818,R,4,,14,164.04
D5S818,R,4,,15,167.95
D5S818,R,4,,16,172.09
FGA,R,4,,17,214.81
FGA,R,4,,18,218.8
FGA,R,4,,19,222.79
FGA,R,4,,20,226.81
FGA,R,4,,21,230.76
FGA,R,4,,22,234.78
FGA,R,4,,23,238.81
FGA,R,4,,24,242.83
FGA,R,4,,25,246.88
FGA,R,4,,26,250.96
FGA,R,4,,26.2,253
FGA,R,4,,27,254.97
FGA,R,4,,28,259.02
FGA,R,4,,29,263.12
FGA,R,4,,30,267.26
FGA,R,4,,30.2,269.07
FGA,R,4,,31.2,273.17
FGA,R,4,,32.2,277.24
FGA,R,4,,33.2,281.33
FGA,R,4,,42.2,319.83
FGA,R,4,,43.2,324.04
FGA,R,4,,44.2,328.26
FGA,R,4,,45.2,332.42
FGA,R,4,,46.2,336.43
FGA,R,4,,47.2,340.42
FGA,R,4,,48.2,344.15
FGA,R,4,,50.2,351.45
FGA,R,4,,51.2,355.13
