Marker,Dye,Length_of_the_repeat_unit,Sex_chromosomal_marker,Allele,Size
D13S317,B,4,,8,103.265
D13S317,B,4,,9,107.405
D13S317,B,4,,10,111.52
D13S317,B,4,,11,115.645
D13S317,B,4,,12,119.755
D13S317,B,4,,13,123.835
D13S317,B,4,,14,127.855
D13S317,B,4,,15,131.95
D7S820,B,4,,6,149.71
D7S820,B,4,,7,153.665
D7S820,B,4,,8,157.635
D7S820,B,4,,9,161.605
D7S820,B,4,,10,165.56
D7S820,B,4,,11,169.535
D7S820,B,4,,12,173.51
D7S820,B,4,,13,177.49
D7S820,B,4,,14,181.475
D7S820,B,4,,15,185.46
AMEL,G,,yes,X,101.565
AMEL,G,,yes,Y,107.535
D2S1338,G,4,,15,120.08
D2S1338,G,4,,16,124.135
D2S1338,G,4,,17,128.095
D2S1338,G,4,,18,132.06
D2S1338,G,4,,19,136.065
D2S1338,G,4,,20,140.02
D2S1338,G,4,,21,144.025
D2S1338,G,4,,22,148.005
D2S1338,G,4,,23,151.975
D2S1338,G,4,,24,155.96
D2S1338,G,4,,25,159.935
D2S1338,G,4,,26,163.925
D2S1338,G,4,,27,168
D2S1338,G,4,,28,172.25
D21S11,G,4,,24,186.975
D21S11,G,4,,24.2,188.96
D21S11,G,4,,25,190.905
D21S11,G,4,,26,194.83
D21S11,G,4,,27,198.685
D21S11,G,4,,28,202.725
D21S11,G,4,,28.2,204.645
D21S11,G,4,,29,206.75
D21S11,G,4,,29.2,208.525
D21S11,G,4,,30,210.61
D21S11,G,4,,30.2,212.56
D21S11,G,4,,31,214.565
D21S11,G,4,,31.2,216.53
D21S11,G,4,,32,218.515
D21S11,G,4,,32.2,220.505
D21S11,G,4,,33,222.485
D21S11,G,4,,33.2,224.545
D21S11,G,4,,34,226.37
D21S11,G,4,,34.2,228.445
D21S11,G,4,,35,230.375
D21S11,G,4,,35.2,232.415
D21S11,G,4,,36,234.45
D21S11,G,4,,37,238.335
D21S11,G,4,,38,242.44
D16S539,Y,4,,5,74.985
D16S539,Y,4,,8,87.595
D16S539,Y,4,,9,91.795
D16S539,Y,4,,10,95.93
D16S539,Y,4,,11,100.075
D16S539,Y,4,,12,104.21
D16S539,Y,4,,13,108.33
D16S539,Y,4,,14,112.44
D16S539,Y,4,,15,116.55
D18S51,Y,4,,7,124.705
D18S51,Y,4,,9,132.55
D18S51,Y,4,,10,136.48
D18S51,Y,4,,10.2,138.395
D18S51,Y,4,,11,140.405
D18S51,Y,4,,12,144.35
D18S51,Y,4,,13,148.29
D18S51,Y,4,,13.2,150.205
D18S51,Y,4,,14,152.225
D18S51,Y,4,,14.2,154.16
D18S51,Y,4,,15,156.185
D18S51,Y,4,,16,160.145
D18S51,Y,4,,17,164.08
D18S51,Y,4,,18,168.055
D18S51,Y,4,,19,172.01
D18S51,Y,4,,20,175.98
D18S51,Y,4,,21,179.945
D18S51,Y,4,,22,183.935
D18S51,Y,4,,23,187.915
D18S51,Y,4,,24,191.89
CSF1PO,R,4,,6,86.66
CSF1PO,R,4,,7,90.71
CSF1PO,R,4,,8,94.745
CSF1PO,R,4,,9,98.775
CSF1PO,R,4,,10,102.8
CSF1PO,R,4,,11,106.825
CSF1PO,R,4,,12,110.835
CSF1PO,R,4,,13,114.855
CSF1PO,R,4,,14,118.85
CSF1PO,R,4,,15,122.86
FGA,R,4,,17,150.535
FGA,R,4,,18,154.275
FGA,R,4,,19,158.035
FGA,R,4,,20,161.79
FGA,R,4,,21,165.56
FGA,R,4,,22,169.33
FGA,R,4,,23,173.115
FGA,R,4,,24,176.895
FGA,R,4,,25,180.69
FGA,R,4,,26,184.5
FGA,R,4,,26.2,186.315
FGA,R,4,,27,188.355
FGA,R,4,,28,192.225
FGA,R,4,,29,195.995
FGA,R,4,,30,199.715
FGA,R,4,,30.2,202.145
FGA,R,4,,31.2,205.96
FGA,R,4,,32.2,209.77
FGA,R,4,,33.2,213.605
FGA,R,4,,42.2,248.505
FGA,R,4,,43.2,252.39
FGA,R,4,,44.2,256.425
FGA,R,4,,45.2,260.32
FGA,R,4,,46.2,263.92
FGA,R,4,,47.2,267.74
FGA,R,4,,48.2,271.725
FGA,R,4,,50.2,279.51
FGA,R,4,,51.2,283.255
