Marker,Dye,Length_of_the_repeat_unit,Sex_chromosomal_marker,Allele,Size
D10S1248,B,4,,8,74.785
D10S1248,B,4,,9,79.015
D10S1248,B,4,,10,83.215
D10S1248,B,4,,11,87.395
D10S1248,B,4,,12,91.545
D10S1248,B,4,,13,95.7
D10S1248,B,4,,14,99.81
D10S1248,B,4,,15,103.99
D10S1248,B,4,,16,108.12
D10S1248,B,4,,17,112.2
D10S1248,B,4,,18,116.195
vWA,B,4,,11,151.3
vWA,B,4,,12,155.395
vWA,B,4,,13,159.54
vWA,B,4,,14,163.81
vWA,B,4,,15,167.74
vWA,B,4,,16,171.8
vWA,B,4,,17,175.845
vWA,B,4,,18,179.83
vWA,B,4,,19,183.95
vWA,B,4,,20,188.035
vWA,B,4,,21,192.09
vWA,B,4,,22,196.15
vWA,B,4,,23,200.115
vWA,B,4,,24,204.435
D16S539,B,4,,5,227.45
D16S539,B,4,,8,239.575
D16S539,B,4,,9,243.72
D16S539,B,4,,10,247.835
D16S539,B,4,,11,251.87
D16S539,B,4,,12,255.84
D16S539,B,4,,13,259.78
D16S539,B,4,,14,263.795
D16S539,B,4,,15,267.825
D2S1338,B,4,,15,288.38
D2S1338,B,4,,16,292.38
D2S1338,B,4,,17,296.345
D2S1338,B,4,,18,300.255
D2S1338,B,4,,19,304.18
D2S1338,B,4,,20,308.13
D2S1338,B,4,,21,312.13
D2S1338,B,4,,22,316.27
D2S1338,B,4,,23,320.475
D2S1338,B,4,,24,324.58
D2S1338,B,4,,25,328.645
D2S1338,B,4,,26,332.68
D2S1338,B,4,,27,336.72
D2S1338,B,4,,28,340.98
AMEL,G,,yes,X,98.97
AMEL,G,,yes,Y,105.005
D8S1179,G,4,,8,122.545
D8S1179,G,4,,9,126.545
D8S1179,G,4,,10,130.56
D8S1179,G,4,,11,134.615
D8S1179,G,4,,12,138.69
D8S1179,G,4,,13,142.91
D8S1179,G,4,,14,147.045
D8S1179,G,4,,15,151.19
D8S1179,G,4,,16,155.35
D8S1179,G,4,,17,159.505
D8S1179,G,4,,18,163.605
D8S1179,G,4,,19,167.685
D21S11,G,4,,24,182.915
D21S11,G,4,,24.2,184.98
D21S11,G,4,,25,187.01
D21S11,G,4,,26,191.11
D21S11,G,4,,27,195.23
D21S11,G,4,,28,199.28
D21S11,G,4,,28.2,201.25
D21S11,G,4,,29,203.23
D21S11,G,4,,29.2,205.28
D21S11,G,4,,30,207.24
D21S11,G,4,,30.2,209.23
D21S11,G,4,,31,211.235
D21S11,G,4,,31.2,213.23
D21S11,G,4,,32,215.265
D21S11,G,4,,32.2,217.3
D21S11,G,4,,33,219.375
D21S11,G,4,,33.2,221.34
D21S11,G,4,,34,223.48
D21S11,G,4,,34.2,225.405
D21S11,G,4,,35,227.485
D21S11,G,4,,35.2,229.44
D21S11,G,4,,36,231.445
D21S11,G,4,,37,235.535
D21S11,G,4,,38,239.5
D18S51,G,4,,7,261.215
D18S51,G,4,,9,269.345
D18S51,G,4,,10,273.42
D18S51,G,4,,10.2,275.42
D18S51,G,4,,11,277.485
D18S51,G,4,,12,281.515
D18S51,G,4,,13,285.535
D18S51,G,4,,13.2,287.51
D18S51,G,4,,14,289.57
D18S51,G,4,,14.2,291.535
D18S51,G,4,,15,293.575
D18S51,G,4,,16,297.58
D18S51,G,4,,17,301.555
D18S51,G,4,,18,305.51
D18S51,G,4,,19,309.525
D18S51,G,4,,20,313.585
D18S51,G,4,,21,317.85
D18S51,G,4,,22,322.125
D18S51,G,4,,23,326.165
D18S51,G,4,,24,330.26
D18S51,G,4,,25,334.34
D18S51,G,4,,26,338.365
D18S51,G,4,,27,342.445
D22S1045,Y,3,,8,78.195
D22S1045,Y,3,,9,81.305
D22S1045,Y,3,,10,84.375
D22S1045,Y,3,,11,87.465
D22S1045,Y,3,,12,90.54
D22S1045,Y,3,,13,93.61
D22S1045,Y,3,,14,96.68
D22S1045,Y,3,,15,99.755
D22S1045,Y,3,,16,102.85
D22S1045,Y,3,,17,105.94
D22S1045,Y,3,,18,109.01
D22S1045,Y,3,,19,112.065
D19S433,Y,4,,9,126
D19S433,Y,4,,10,129.8
D19S433,Y,4,,11,133.625
D19S433,Y,4,,12,137.475
D19S433,Y,4,,12.2,139.44
D19S433,Y,4,,13,141.365
D19S433,Y,4,,13.2,143.36
D19S433,Y,4,,14,145.305
D19S433,Y,4,,14.2,147.29
D19S433,Y,4,,15,149.235
D19S433,Y,4,,15.2,151.235
D19S433,Y,4,,16,153.2
D19S433,Y,4,,16.2,155.185
D19S433,Y,4,,17,157.15
D19S433,Y,4,,17.2,159.15
TH01,Y,4,,4,179.335
TH01,Y,4,,5,183.36
TH01,Y,4,,6,187.395
TH01,Y,4,,7,191.425
TH01,Y,4,,8,195.44
TH01,Y,4,,9,199.47
TH01,Y,4,,9.3,202.47
TH01,Y,4,,10,203.385
TH01,Y,4,,11,207.325
TH01,Y,4,,13.3,218.31
FGA,Y,4,,17,232.03
FGA,Y,4,,18,235.87
FGA,Y,4,,19,239.695
FGA,Y,4,,20,243.61
FGA,Y,4,,21,247.52
FGA,Y,4,,22,251.37
FGA,Y,4,,23,255.145
FGA,Y,4,,24,258.885
FGA,Y,4,,25,262.685
FGA,Y,4,,26,266.53
FGA,Y,4,,26.2,268.405
FGA,Y,4,,27,270.445
FGA,Y,4,,28,274.295
FGA,Y,4,,29,278.11
FGA,Y,4,,30,281.86
FGA,Y,4,,30.2,284.12
FGA,Y,4,,31.2,287.915
FGA,Y,4,,32.2,291.705
FGA,Y,4,,33.2,295.505
FGA,Y,4,,42.2,330.605
FGA,Y,4,,43.2,334.465
FGA,Y,4,,44.2,338.455
FGA,Y,4,,45.2,342.375
FGA,Y,4,,46.2,345.985
FGA,Y,4,,47.2,349.83
FGA,Y,4,,48.2,353.85
FGA,Y,4,,50.2,361.505
FGA,Y,4,,51.2,365.35
D2S441,R,4,,9,78.495
D2S441,R,4,,10,82.645
D2S441,R,4,,11,86.775
