Marker,Dye,Length_of_the_repeat_unit,Sex_chromosomal_marker,Allele,Size
D10S1248,B,4,,8,76.655
D10S1248,B,4,,9,80.875
D10S1248,B,4,,10,85.06
D10S1248,B,4,,11,89.22
D10S1248,B,4,,12,93.34
D10S1248,B,4,,13,97.44
D10S1248,B,4,,14,101.445
vWA,B,4,,11,153.79
vWA,B,4,,12,157.97
vWA,B,4,,13,162.11
vWA,B,4,,14,166.35
vWA,B,4,,15,170.28
vWA,B,4,,16,174.2875
vWA,B,4,,17,178.295
vWA,B,4,,18,182.23
vWA,B,4,,19,186.19
vWA,B,4,,20,190.13
vWA,B,4,,21,194.015
vWA,B,4,,22,197.91
vWA,B,4,,23,201.74
vWA,B,4,,24,206.065
D16S539,B,4,,5,228.73
D16S539,B,4,,8,240.765
D16S539,B,4,,9,244.775
D16S539,B,4,,10,248.785
D16S539,B,4,,11,252.8
D16S539,B,4,,12,256.835
D16S539,B,4,,13,260.865
D16S539,B,4,,14,264.885
D16S539,B,4,,15,268.925
D2S1338,B,4,,15,289.645
D2S1338,B,4,,16,293.73
D2S1338,B,4,,17,297.775
D2S1338,B,4,,18,301.855
D2S1338,B,4,,19,305.95
D2S1338,B,4,,20,310.07
D2S1338,B,4,,21,314.17
D2S1338,B,4,,22,318.265
D2S1338,B,4,,23,322.345
D2S1338,B,4,,24,326.42
D2S1338,B,4,,25,330.505
D2S1338,B,4,,26,334.575
D2S1338,B,4,,27,338.67
D2S1338,B,4,,28,343
AMEL,G,,yes,X,100.61
AMEL,G,,yes,Y,106.275
D8S1179,G,4,,8,123.59
D8S1179,G,4,,9,127.66
D8S1179,G,4,,10,131.755
D8S1179,G,4,,11,135.905
D8S1179,G,4,,12,140.15
D8S1179,G,4,,13,144.72
D8S1179,G,4,,14,149.18
D8S1179,G,4,,15,153.51
D8S1179,G,4,,16,157.775
D8S1179,G,4,,17,161.93
D8S1179,G,4,,18,166.005
D8S1179,G,4,,19,170.07
D21S11,G,4,,24,185.08
D21S11,G,4,,24.2,187.07
D21S11,G,4,,25,189.03
D21S11,G,4,,26,192.965
D21S11,G,4,,27,196.915
D21S11,G,4,,28,200.79
D21S11,G,4,,28.2,202.76
D21S11,G,4,,29,204.735
D21S11,G,4,,29.2,206.775
D21S11,G,4,,30,208.755
D21S11,G,4,,30.2,210.73
D21S11,G,4,,31,212.745
D21S11,G,4,,31.2,214.715
D21S11,G,4,,32,216.735
D21S11,G,4,,32.2,218.7
D21S11,G,4,,33,220.715
D21S11,G,4,,33.2,222.67
D21S11,G,4,,34,224.795
D21S11,G,4,,34.2,226.695
D21S11,G,4,,35,228.75
D21S11,G,4,,35.2,230.685
D21S11,G,4,,36,232.68
D21S11,G,4,,37,236.73
D21S11,G,4,,38,240.66
D18S51,G,4,,7,262.29
D18S51,G,4,,9,270.425
D18S51,G,4,,10,274.495
D18S51,G,4,,10.2,276.505
D18S51,G,4,,11,278.56
D18S51,G,4,,12,282.635
D18S51,G,4,,13,286.71
D18S51,G,4,,13.2,288.73
D18S51,G,4,,14,290.82
D18S51,G,4,,14.2,292.825
D18S51,G,4,,15,294.905
D18S51,G,4,,16,299.015
D18S51,G,4,,17,303.165
D18S51,G,4,,18,307.315
D18S51,G,4,,19,311.455
D18S51,G,4,,20,315.59
D18S51,G,4,,21,319.73
D18S51,G,4,,22,323.925
D18S51,G,4,,23,327.98
D18S51,G,4,,24,332.095
D18S51,G,4,,25,336.215
D18S51,G,4,,26,340.33
D18S51,G,4,,27,344.445
D22S1045,Y,3,,8,80.035
D22S1045,Y,3,,9,83.13
D22S1045,Y,3,,10,86.195
D22S1045,Y,3,,11,89.265
D22S1045,Y,3,,12,92.315
D22S1045,Y,3,,13,95.36
D22S1045,Y,3,,14,98.395
D22S1045,Y,3,,15,101.36
D22S1045,Y,3,,16,104.26
D22S1045,Y,3,,17,107.185
D22S1045,Y,3,,18,110.115
D22S1045,Y,3,,19,113.075
D19S433,Y,4,,9,127.15
D19S433,Y,4,,10,131.02
D19S433,Y,4,,11,134.92
D19S433,Y,4,,12,138.865
D19S433,Y,4,,12.2,140.995
D19S433,Y,4,,13,143.085
D19S433,Y,4,,13.2,145.245
D19S433,Y,4,,14,147.325
D19S433,Y,4,,14.2,149.48
D19S433,Y,4,,15,151.525
D19S433,Y,4,,15.2,153.585
D19S433,Y,4,,16,155.585
D19S433,Y,4,,16.2,157.63
D19S433,Y,4,,17,159.61
D19S433,Y,4,,17.2,161.6
TH01,Y,4,,4,181.6
TH01,Y,4,,5,185.51
TH01,Y,4,,6,189.39
TH01,Y,4,,7,193.265
TH01,Y,4,,8,197.11
TH01,Y,4,,9,200.98
TH01,Y,4,,9.3,203.98
TH01,Y,4,,10,204.9
TH01,Y,4,,11,208.84
TH01,Y,4,,13.3,219.695
FGA,Y,4,,17,233.28
FGA,Y,4,,18,237.07
FGA,Y,4,,19,240.865
FGA,Y,4,,20,244.675
FGA,Y,4,,21,248.49
FGA,Y,4,,22,252.295
FGA,Y,4,,23,256.14
