Marker,Dye,Length_of_the_repeat_unit,Sex_chromosomal_marker,Allele,Size
D3S1358,B,4,,12,115
D3S1358,B,4,,13,119
D3S1358,B,4,,14,123
D3S1358,B,4,,15,127
D3S1358,B,4,,16,131
D3S1358,B,4,,17,135
D3S1358,B,4,,18,139
D3S1358,B,4,,19,143
D3S1358,B,4,,20,147
TH01,B,4,,4,156
TH01,B,4,,5,160
TH01,B,4,,6,164
TH01,B,4,,7,168
TH01,B,4,,8,172
TH01,B,4,,9,176
TH01,B,4,,9.3,179
TH01,B,4,,10,180
TH01,B,4,,11,184
TH01,B,4,,13.3,195
D21S11,B,4,,24,203
D21S11,B,4,,24.2,205
D21S11,B,4,,25,207
D21S11,B,4,,25.2,209
D21S11,B,4,,26,211
D21S11,B,4,,27,215
D21S11,B,4,,28,219
D21S11,B,4,,28.2,221
D21S11,B,4,,29,223
D21S11,B,4,,29.2,225
D21S11,B,4,,30,227
D21S11,B,4,,30.2,229
D21S11,B,4,,31,231
D21S11,B,4,,31.2,233
D21S11,B,4,,32,235
D21S11,B,4,,32.2,237
D21S11,B,4,,33,239
D21S11,B,4,,33.2,241
D21S11,B,4,,34,243
D21S11,B,4,,34.2,245
D21S11,B,4,,35,247
D21S11,B,4,,35.2,249
D21S11,B,4,,36,251
D21S11,B,4,,37,255
D21S11,B,4,,38,259
D18S51,B,4,,8,290
D18S51,B,4,,9,294
D18S51,B,4,,10,298
D18S51,B,4,,10.2,300
D18S51,B,4,,11,302
D18S51,B,4,,12,306
D18S51,B,4,,13,310
D18S51,B,4,,13.2,312
D18S51,B,4,,14,314
D18S51,B,4,,15,318
D18S51,B,4,,16,322
D18S51,B,4,,17,326
D18S51,B,4,,18,330
D18S51,B,4,,19,334
D18S51,B,4,,20,338
D18S51,B,4,,21,342
D18S51,B,4,,22,346
D18S51,B,4,,23,350
D18S51,B,4,,24,354
D18S51,B,4,,25,358
D18S51,B,4,,26,362
D18S51,B,4,,27,366
Penta E,B,5,,5,379
Penta E,B,5,,6,384
Penta E,B,5,,7,389
Penta E,B,5,,8,394
Penta E,B,5,,9,399
Penta E,B,5,,10,404
Penta E,B,5,,11,409
Penta E,B,5,,12,414
Penta E,B,5,,13,419
Penta E,B,5,,14,424
Penta E,B,5,,15,429
Penta E,B,5,,16,434
Penta E,B,5,,17,439
Penta E,B,5,,18,444
Penta E,B,5,,19,449
Penta E,B,5,,20,454
Penta E,B,5,,21,459
Penta E,B,5,,22,464
Penta E,B,5,,23,469
Penta E,B,5,,24,474
D5S818,G,4,,7,119
D5S818,G,4,,8,123
D5S818,G,4,,9,127
D5S818,G,4,,10,131
D5S818,G,4,,11,135
D5S818,G,4,,12,139
D5S818,G,4,,13,143
D5S818,G,4,,14,147
D5S818,G,4,,15,151
D5S818,G,4,,16,155
D13S317,G,4,,7,176
D13S317,G,4,,8,180
D13S317,G,4,,9,184
D13S317,G,4,,10,188
D13S317,G,4,,11,192
D13S317,G,4,,12,196
D13S317,G,4,,13,200
D13S317,G,4,,14,204
D13S317,G,4,,15,208
D7S820,G,4,,6,215
D7S820,G,4,,7,219
D7S820,G,4,,8,223
D7S820,G,4,,9,227
D7S820,G,4,,10,231
D7S820,G,4,,11,235
D7S820,G,4,,12,239
D7S820,G,4,,13,243
D7S820,G,4,,14,247
D16S539,G,4,,5,264
D16S539,G,4,,8,276
D16S539,G,4,,9,280
D16S539,G,4,,10,284
D16S539,G,4,,11,288
D16S539,G,4,,12,292
D16S539,G,4,,13,296
D16S539,G,4,,14,300
D16S539,G,4,,15,304
CSF1PO,G,4,,6,321
CSF1PO,G,4,,7,325
CSF1PO,G,4,,8,329
CSF1PO,G,4,,9,333
CSF1PO,G,4,,10,337
CSF1PO,G,4,,11,341
CSF1PO,G,4,,12,345
CSF1PO,G,4,,13,349
CSF1PO,G,4,,14,353
CSF1PO,G,4,,15,357
Penta D,G,5,,2.2,376
Penta D,G,5,,3.2,381
Penta D,G,5,,5,389
Penta D,G,5,,7,399
Penta D,G,5,,8,404
Penta D,G,5,,9,409
Penta D,G,5,,10,414
Penta D,G,5,,11,419
Penta D,G,5,,12,424
Penta D,G,5,,13,429
Penta D,G,5,,14,434
Penta D,G,5,,15,439
Penta D,G,5,,16,444
Penta D,G,5,,17,449
AMEL,Y,,yes,X,106
AMEL,Y,,yes,Y,112
vWA,Y,4,,10,123
vWA,Y,4,,11,127
vWA,Y,4,,12,131
vWA,Y,4,,13,135
vWA,Y,4,,14,139
vWA,Y,4,,15,143
vWA,Y,4,,16,147
vWA,Y,4,,17,151
vWA,Y,4,,18,155
vWA,Y,4,,19,159
vWA,Y,4,,20,163
vWA,Y,4,,21,167
vWA,Y,4,,22,171
D8S1179,Y,4,,7,203
D8S1179,Y,4,,8,207
D8S1179,Y,4,,9,211
D8S1179,Y,4,,10,215
D8S1179,Y,4,,11,219
D8S1179,Y,4,,12,223
D8S1179,Y,4,,13,227
