Marker,Dye,Length_of_the_repeat_unit,Sex_chromosomal_marker,Allele,Size
AMEL,B,,yes,X,89
AMEL,B,,yes,Y,95
D3S1358,B,4,,9,103
D3S1358,B,4,,10,107
D3S1358,B,4,,11,111
D3S1358,B,4,,12,115
D3S1358,B,4,,13,119
D3S1358,B,4,,14,123
D3S1358,B,4,,15,127
D3S1358,B,4,,16,131
D3S1358,B,4,,17,135
D3S1358,B,4,,18,139
D3S1358,B,4,,19,143
D3S1358,B,4,,20,147
D1S1656,B,4,,9,161
D1S1656,B,4,,10,165
D1S1656,B,4,,11,169
D1S1656,B,4,,12,173
D1S1656,B,4,,13,177
D1S1656,B,4,,14,181
D1S1656,B,4,,14.3,184
D1S1656,B,4,,15,185
D1S1656,B,4,,15.3,188
D1S1656,B,4,,16,189
D1S1656,B,4,,16.3,192
D1S1656,B,4,,17,193
D1S1656,B,4,,17.3,196
D1S1656,B,4,,18,197
D1S1656,B,4,,18.3,200
D1S1656,B,4,,19,201
D1S1656,B,4,,19.3,204
D1S1656,B,4,,20.3,208
D2S441,B,4,,8,216
D2S441,B,4,,9,220
D2S441,B,4,,10,224
D2S441,B,4,,11,228
D2S441,B,4,,11.3,231
D2S441,B,4,,12,232
D2S441,B,4,,13,236
D2S441,B,4,,14,240
D2S441,B,4,,15,244
D2S441,B,4,,16,248
D2S441,B,4,,17,252
D10S1248,B,4,,8,259
D10S1248,B,4,,9,263
D10S1248,B,4,,10,267
D10S1248,B,4,,11,271
D10S1248,B,4,,12,275
D10S1248,B,4,,13,279
D10S1248,B,4,,14,283
D10S1248,B,4,,15,287
D10S1248,B,4,,16,291
D10S1248,B,4,,17,295
D10S1248,B,4,,18,299
D10S1248,B,4,,19,303
D13S317,B,4,,5,308
D13S317,B,4,,6,312
D13S317,B,4,,7,316
D13S317,B,4,,8,320
D13S317,B,4,,9,324
D13S317,B,4,,10,328
D13S317,B,4,,11,332
D13S317,B,4,,12,336
D13S317,B,4,,13,340
D13S317,B,4,,14,344
D13S317,B,4,,15,348
D13S317,B,4,,16,352
D13S317,B,4,,17,356
Penta E,B,5,,5,371
Penta E,B,5,,6,376
Penta E,B,5,,7,381
Penta E,B,5,,8,386
Penta E,B,5,,9,391
Penta E,B,5,,10,396
Penta E,B,5,,11,401
Penta E,B,5,,12,406
Penta E,B,5,,13,411
Penta E,B,5,,14,416
Penta E,B,5,,15,421
Penta E,B,5,,16,426
Penta E,B,5,,17,431
Penta E,B,5,,18,436
Penta E,B,5,,19,441
Penta E,B,5,,20,446
Penta E,B,5,,21,451
Penta E,B,5,,22,456
Penta E,B,5,,23,461
Penta E,B,5,,24,466
Penta E,B,5,,25,471
D16S539,G,4,,4,84
D16S539,G,4,,5,88
D16S539,G,4,,6,92
D16S539,G,4,,7,96
D16S539,G,4,,8,100
D16S539,G,4,,9,104
D16S539,G,4,,10,108
D16S539,G,4,,11,112
D16S539,G,4,,12,116
D16S539,G,4,,13,120
D16S539,G,4,,14,124
D16S539,G,4,,15,128
D16S539,G,4,,16,132
D18S51,G,4,,7,134
D18S51,G,4,,8,138
D18S51,G,4,,9,142
D18S51,G,4,,10,146
D18S51,G,4,,10.2,148
D18S51,G,4,,11,150
D18S51,G,4,,12,154
D18S51,G,4,,13,158
D18S51,G,4,,13.2,160
D18S51,G,4,,14,162
D18S51,G,4,,15,166
D18S51,G,4,,16,170
D18S51,G,4,,17,174
D18S51,G,4,,18,178
D18S51,G,4,,19,182
D18S51,G,4,,20,186
D18S51,G,4,,21,190
D18S51,G,4,,22,194
D18S51,G,4,,23,198
D18S51,G,4,,24,202
D18S51,G,4,,25,206
D18S51,G,4,,26,210
D18S51,G,4,,27,214
D2S1338,G,4,,10,224
D2S1338,G,4,,12,232
D2S1338,G,4,,14,240
D2S1338,G,4,,15,244
D2S1338,G,4,,16,248
D2S1338,G,4,,17,252
D2S1338,G,4,,18,256
D2S1338,G,4,,19,260
D2S1338,G,4,,20,264
D2S1338,G,4,,21,268
D2S1338,G,4,,22,272
D2S1338,G,4,,23,276
D2S1338,G,4,,24,280
D2S1338,G,4,,25,284
D2S1338,G,4,,26,288
D2S1338,G,4,,27,292
D2S1338,G,4,,28,296
CSF1PO,G,4,,5,318
CSF1PO,G,4,,6,322
CSF1PO,G,4,,7,326
CSF1PO,G,4,,8,330
CSF1PO,G,4,,9,334
CSF1PO,G,4,,10,338
CSF1PO,G,4,,11,342
CSF1PO,G,4,,12,346
CSF1PO,G,4,,13,350
CSF1PO,G,4,,14,354
CSF1PO,G,4,,15,358
CSF1PO,G,4,,16,362
Penta D,G,5,,2.2,377
Penta D,G,5,,3.2,382
Penta D,G,5,,5,390
Penta D,G,5,,6,395
Penta D,G,5,,7,400
Penta D,G,5,,8,405
Penta D,G,5,,9,410
Penta D,G,5,,10,415
Penta D,G,5,,11,420
Penta D,G,5,,12,425
Penta D,G,5,,13,430
Penta D,G,5,,14,435
Penta D,G,5,,15,440
Penta D,G,5,,16,445
Penta D,G,5,,17,450
TH01,Y,4,,3,72
TH01,Y,4,,4,76
TH01,Y,4,,5,80
TH01,Y,4,,6,84
TH01,Y,4,,7,88
TH01,Y,4,,8,92
TH01,Y,4,,9,96
TH01,Y,4,,9.3,99
TH01,Y,4,,10,100
TH01,Y,4,,11,104
TH01,Y,4,,13.3,115
vWA,Y,4,,10,127
vWA,Y,4,,11,131
vWA,Y,4,,12,135
vWA,Y,4,,13,139
vWA,Y,4,,14,143
vWA,Y,4,,15,147
vWA,Y,4,,16,151
vWA,Y,4,,17,155
vWA,Y,4,,18,159
vWA,Y,4,,19,163
vWA,Y,4,,20,167
vWA,Y,4,,21,171
vWA,Y,4,,22,175
vWA,Y,4,,23,179
vWA,Y,4,,24,183
D21S11,Y,4,,24,203
D21S11,Y,4,,24.2,205
D21S11,Y,4,,25,207
D21S11,Y,4,,25.2,209
D21S11,Y,4,,26,211
D21S11,Y,4,,27,215
D21S11,Y,4,,28,219
D21S11,Y,4,,28.2,221
D21S11,Y,4,,29,223
D21S11,Y,4,,29.2,225
D21S11,Y,4,,30,227
D21S11,Y,4,,30.2,229
D21S11,Y,4,,31,231
D21S11,Y,4,,31.2,233
D21S11,Y,4,,32,235
D21S11,Y,4,,32.2,237
D21S11,Y,4,,33,239
D21S11,Y,4,,33.2,241
D21S11,Y,4,,34,243
D21S11,Y,4,,34.2,245
D21S11,Y,4,,35,247
D21S11,Y,4,,35.2,249
D21S11,Y,4,,36,251
D21S11,Y,4,,37,255
D21S11,Y,4,,38,259
D7S820,Y,4,,5,269
D7S820,Y,4,,6,273
D7S820,Y,4,,7,277
D7S820,Y,4,,8,281
D7S820,Y,4,,9,285
D7S820,Y,4,,10,289
D7S820,Y,4,,11,293
D7S820,Y,4,,12,297
D7S820,Y,4,,13,301
D7S820,Y,4,,14,305
D7S820,Y,4,,15,309
D7S820,Y,4,,16,313
D5S818,Y,4,,6,321
D5S818,Y,4,,7,325
D5S818,Y,4,,8,329
D5S818,Y,4,,9,333
D5S818,Y,4,,10,337
D5S818,Y,4,,11,341
D5S818,Y,4,,12,345
D5S818,Y,4,,13,349
D5S818,Y,4,,14,353
D5S818,Y,4,,15,357
D5S818,Y,4,,16,361
D5S818,Y,4,,17,365
D5S818,Y,4,,18,369
TPOX,Y,4,,4,393
TPOX,Y,4,,5,397
TPOX,Y,4,,6,401
TPOX,Y,4,,7,405
TPOX,Y,4,,8,409
TPOX,Y,4,,9,413
TPOX,Y,4,,10,417
TPOX,Y,4,,11,421
TPOX,Y,4,,12,425
TPOX,Y,4,,13,429
TPOX,Y,4,,14,433
TPOX,Y,4,,15,437
TPOX,Y,4,,16,441
D8S1179,R,4,,7,76
D8S1179,R,4,,8,80
D8S1179,R,4,,9,84
D8S1179,R,4,,10,88
D8S1179,R,4,,11,92
D8S1179,R,4,,12,96
D8S1179,R,4,,13,100
D8S1179,R,4,,14,104
D8S1179,R,4,,15,108
D8S1179,R,4,,16,112
