Marker,Dye,Length_of_the_repeat_unit,Sex_chromosomal_marker,Allele,Size
D3S1358,B,4,,12,111.25
D3S1358,B,4,,13,115.38
D3S1358,B,4,,14,119.36
D3S1358,B,4,,15,123.35
D3S1358,B,4,,15,127.48
D3S1358,B,4,,17,131.58
D3S1358,B,4,,18,135.78
D3S1358,B,4,,19,139.92
vWA,B,4,,11,154.59
vWA,B,4,,12,158.8
vWA,B,4,,13,163
vWA,B,4,,14,167.22
vWA,B,4,,15,171.18
vWA,B,4,,16,175.15
vWA,B,4,,17,179.18
vWA,B,4,,18,183.15
vWA,B,4,,19,187.09
vWA,B,4,,20,190.94
vWA,B,4,,21,194.88
vWA,B,4,,22,198.73
vWA,B,4,,23,202.55
vWA,B,4,,24,206.83
D16S539,B,4,,5,229.29
D16S539,B,4,,8,241.27
D16S539,B,4,,9,245.25
D16S539,B,4,,10,249.33
D16S539,B,4,,11,253.27
D16S539,B,4,,12,257.31
D16S539,B,4,,13,261.36
D16S539,B,4,,14,265.51
D16S539,B,4,,15,269.57
D2S1338,B,4,,15,290.55
D2S1338,B,4,,16,294.67
D2S1338,B,4,,17,298.75
D2S1338,B,4,,18,303.12
D2S1338,B,4,,19,307.53
D2S1338,B,4,,20,311.86
D2S1338,B,4,,21,316.2
D2S1338,B,4,,22,320.39
D2S1338,B,4,,23,324.68
D2S1338,B,4,,24,328.72
D2S1338,B,4,,25,332.93
D2S1338,B,4,,26,336.92
D2S1338,B,4,,27,340.89
D2S1338,B,4,,28,344.57
AMEL,G,,yes,X,103.48
AMEL,G,,yes,Y,109.13
D8S1179,G,4,,8,123.69
D8S1179,G,4,,9,127.73
D8S1179,G,4,,10,131.8
D8S1179,G,4,,11,135.92
D8S1179,G,4,,12,140.2
D8S1179,G,4,,13,144.72
D8S1179,G,4,,14,149.23
D8S1179,G,4,,15,153.7
D8S1179,G,4,,16,158.08
D8S1179,G,4,,17,162.27
D8S1179,G,4,,18,166.38
D8S1179,G,4,,19,170.48
D21S11,G,4,,24,185.21
D21S11,G,4,,24.2,187.21
D21S11,G,4,,25,189.17
D21S11,G,4,,26,193.08
D21S11,G,4,,27,197.01
D21S11,G,4,,28,200.82
D21S11,G,4,,28.2,202.78
D21S11,G,4,,29,204.77
D21S11,G,4,,29.2,206.71
D21S11,G,4,,30,208.74
D21S11,G,4,,30.2,210.67
D21S11,G,4,,31,212.68
D21S11,G,4,,31.2,214.61
D21S11,G,4,,32,216.67
D21S11,G,4,,32.2,218.57
D21S11,G,4,,33,220.58
D21S11,G,4,,33.2,222.53
D21S11,G,4,,34,224.55
D21S11,G,4,,34.2,226.53
D21S11,G,4,,35,228.54
D21S11,G,4,,35.2,230.47
D21S11,G,4,,36,232.56
D21S11,G,4,,37,236.51
D21S11,G,4,,38,240.43
D18S51,G,4,,7,262.31
D18S51,G,4,,9,270.55
D18S51,G,4,,10,274.64
D18S51,G,4,,10.2,276.67
D18S51,G,4,,11,278.77
D18S51,G,4,,12,282.88
D18S51,G,4,,13,286.98
D18S51,G,4,,13.2,289.03
D18S51,G,4,,14,291.13
D18S51,G,4,,14.2,293.22
D18S51,G,4,,15,295.31
D18S51,G,4,,16,299.46
D18S51,G,4,,17,303.96
D18S51,G,4,,18,308.38
D18S51,G,4,,19,312.77
D18S51,G,4,,20,317.11
D18S51,G,4,,21,321.35
D18S51,G,4,,22,325.58
D18S51,G,4,,23,329.78
D18S51,G,4,,24,333.95
D18S51,G,4,,25,338.05
D18S51,G,4,,26,341.93
D18S51,G,4,,27,345.59
D19S433,Y,4,,9,102.01
D19S433,Y,4,,10,105.93
D19S433,Y,4,,11,109.82
D19S433,Y,4,,12,113.68
D19S433,Y,4,,12.2,115.73
D19S433,Y,4,,13,117.62
D19S433,Y,4,,13.2,119.65
D19S433,Y,4,,14,121.57
D19S433,Y,4,,14.2,123.6
D19S433,Y,4,,15,125.54
D19S433,Y,4,,15.2,127.62
D19S433,Y,4,,16,129.54
D19S433,Y,4,,16.2,131.59
D19S433,Y,4,,17,133.6
D19S433,Y,4,,17.2,135.62
TH01,Y,4,,4,163.12
TH01,Y,4,,5,167.19
TH01,Y,4,,6,171.2
TH01,Y,4,,7,175.25
TH01,Y,4,,8,179.25
TH01,Y,4,,9,183.23
TH01,Y,4,,9.3,186.26
TH01,Y,4,,10,187.21
TH01,Y,4,,11,191.13
TH01,Y,4,,13.3,201.87
FGA,Y,4,,17,212.48
FGA,Y,4,,18,216.51
FGA,Y,4,,19,220.52
FGA,Y,4,,20,224.54
FGA,Y,4,,21,228.52
FGA,Y,4,,22,232.6
FGA,Y,4,,23,236.62
FGA,Y,4,,24,240.64
FGA,Y,4,,25,244.74
FGA,Y,4,,26,248.78
FGA,Y,4,,26.2,250.83
FGA,Y,4,,27,252.77
FGA,Y,4,,28,256.89
FGA,Y,4,,29,260.99
FGA,Y,4,,30,265.1
FGA,Y,4,,30.2,266.95
FGA,Y,4,,31.2,271.05
FGA,Y,4,,32.2,275.17
FGA,Y,4,,33.2,279.27
FGA,Y,4,,42.2,317.77
FGA,Y,4,,43.2,322.01
FGA,Y,4,,44.2,326.21
FGA,Y,4,,45.2,330.39
FGA,Y,4,,46.2,334.44
FGA,Y,4,,47.2,338.55
FGA,Y,4,,48.2,342.41
FGA,Y,4,,50.2,349.77
FGA,Y,4,,51.2,353.44
