"Biological_parameter","Kit","Marker","Model","Locus_specific","Min","Max","Mean","Variance","Slope","Intercept","X_value"
"AE","Identifiler Plus","D8S1179","Log-normal","TRUE","0.058","","1.07345728149533","19.2165353770719","","",""
"AE","Identifiler Plus","D21S11","Log-normal","TRUE","0.058","","0.889256459016106","16.1611480009679","","",""
"AE","Identifiler Plus","D7S820","Log-normal","TRUE","0.058","","0.690321181317765","12.4670173789534","","",""
"AE","Identifiler Plus","CSF1PO","Log-normal","TRUE","0.058","","0.878706910664241","15.0268313065536","","",""
"AE","Identifiler Plus","D3S1358","Log-normal","TRUE","0.058","","1.28736886466343","17.703807724562","","",""
"AE","Identifiler Plus","TH01","Log-normal","TRUE","0.058","","1.42350720643704","20.021775126187","","",""
"AE","Identifiler Plus","D13S317","Log-normal","TRUE","0.058","","1.33319690571914","18.7701253715123","","",""
"AE","Identifiler Plus","D16S539","Log-normal","TRUE","0.058","","1.24821319821937","18.6229078252808","","",""
"AE","Identifiler Plus","D2S1338","Log-normal","TRUE","0.058","","1.10945419300719","15.0804670779947","","",""
"AE","Identifiler Plus","D19S433","Log-normal","TRUE","0.058","","0.883141800368287","11.4471110518264","","",""
"AE","Identifiler Plus","vWA","Log-normal","TRUE","0.058","","0.993694840599951","12.7100096740864","","",""
"AE","Identifiler Plus","TPOX","Log-normal","TRUE","0.058","","0.880705141047569","13.0731332287537","","",""
"AE","Identifiler Plus","D18S51","Log-normal","TRUE","0.058","","0.84212292640497","12.8120830292847","","",""
"AE","Identifiler Plus","D5S818","Log-normal","TRUE","0.058","","0.841358920755761","12.8621167429632","","",""
"AE","Identifiler Plus","FGA","Log-normal","TRUE","0.058","","0.772668147452914","10.7046875141778","","",""
"Hb","Identifiler Plus","D8S1179","Log-normal","TRUE","0.046","","1.01711880587759","66.8066476273624","","",""
"Hb","Identifiler Plus","D21S11","Log-normal","TRUE","0.046","","0.993134080124691","54.7635634191563","","",""
"Hb","Identifiler Plus","D7S820","Log-normal","TRUE","0.046","","0.998916086900082","41.2278905580026","","",""
"Hb","Identifiler Plus","CSF1PO","Log-normal","TRUE","0.046","","0.964898831166125","56.8954370098267","","",""
"Hb","Identifiler Plus","D3S1358","Log-normal","TRUE","0.046","","1.04487516982372","67.5919929316765","","",""
"Hb","Identifiler Plus","TH01","Log-normal","TRUE","0.046","","0.961049661626194","63.2260693143429","","",""
"Hb","Identifiler Plus","D13S317","Log-normal","TRUE","0.046","","0.969666201991338","68.2147950023126","","",""
"Hb","Identifiler Plus","D16S539","Log-normal","TRUE","0.046","","1.01263799838494","78.7457698647461","","",""
"Hb","Identifiler Plus","D2S1338","Log-normal","TRUE","0.046","","0.982829363142922","75.8605627399749","","",""
"Hb","Identifiler Plus","D19S433","Log-normal","TRUE","0.046","","0.985005315420157","45.8224180894251","","",""
"Hb","Identifiler Plus","vWA","Log-normal","TRUE","0.046","","0.992148133909823","68.8853899460449","","",""
"Hb","Identifiler Plus","TPOX","Log-normal","TRUE","0.046","","0.99318334735826","42.0529591169061","","",""
"Hb","Identifiler Plus","D18S51","Log-normal","TRUE","0.046","","0.964357175537313","53.4713431265617","","",""
"Hb","Identifiler Plus","D5S818","Log-normal","TRUE","0.046","","0.967889198120452","38.7236579410353","","",""
"Hb","Identifiler Plus","FGA","Log-normal","TRUE","0.046","","0.9330217921553","52.9685431543075","","",""
"BSR","Identifiler Plus","D8S1179","Multi-seq","TRUE","","0.7","","53.3093435331884","0.00769262878036707","-0.00814017612506748","2"
"BSR","Identifiler Plus","D21S11","Multi-seq","TRUE","","0.7","","22.1064602915572","0.0102269628654175","0.0438634246030168","8"
"BSR","Identifiler Plus","D7S820","LUS","TRUE","","0.7","","17.0253700848231","0.00877175779979597","-0.0426935079286273",""
"BSR","Identifiler Plus","CSF1PO","Allele","TRUE","","0.7","","17.6325723648096","0.00817596524307105","-0.0349534404167286",""
"BSR","Identifiler Plus","D3S1358","LUS","TRUE","","0.7","","23.9326227476637","0.0122815076498579","-0.0748016455752411",""
"BSR","Identifiler Plus","TH01","LUS","TRUE","","0.7","","60.9704652961403","0.00517678140567447","-0.0163783498826537",""
"BSR","Identifiler Plus","D13S317","Allele","TRUE","","0.7","","48.8432533147258","0.00933705863767519","-0.0541625095319563",""
"BSR","Identifiler Plus","D16S539","LUS","TRUE","","0.7","","23.8149473964517","0.00992099060986362","-0.0532293509803765",""
"BSR","Identifiler Plus","D2S1338","Multi-seq","TRUE","","0.7","","40.0420622486678","0.00776187348687128","-0.0398490663275179","2"
"BSR","Identifiler Plus","D19S433","Allele","TRUE","","0.7","","21.6173971484113","0.00974433016786163","-0.0594559826965394",""
"BSR","Identifiler Plus","vWA","Allele","TRUE","","0.7","","23.5267245837456","0.00963690349049589","-0.0883430110661477",""
"BSR","Identifiler Plus","TPOX","Allele","TRUE","","0.7","","52.6793590733465","0.00568728979274295","-0.0252313182979089",""
"BSR","Identifiler Plus","D18S51","Allele","TRUE","","0.7","","18.782001507173","0.0077484774000032","-0.038662465986612",""
"BSR","Identifiler Plus","D5S818","Allele","TRUE","","0.7","","33.7565174717823","0.00827068626251472","-0.0330917161333413",""
"BSR","Identifiler Plus","FGA","Allele","TRUE","","0.7","","51.6738777953975","0.00439666529849283","-0.0277960140008037",""
"FSR","Identifiler Plus","D8S1179","","","","","","","","",""
"FSR","Identifiler Plus","D21S11","","","","","","","","",""
"FSR","Identifiler Plus","D7S820","","","","","","","","",""
"FSR","Identifiler Plus","CSF1PO","","","","","","","","",""
"FSR","Identifiler Plus","D3S1358","","","","","","","","",""
"FSR","Identifiler Plus","TH01","","","","","","","","",""
"FSR","Identifiler Plus","D13S317","","","","","","","","",""
"FSR","Identifiler Plus","D16S539","","","","","","","","",""
"FSR","Identifiler Plus","D2S1338","","","","","","","","",""
"FSR","Identifiler Plus","D19S433","","","","","","","","",""
"FSR","Identifiler Plus","vWA","","","","","","","","",""
"FSR","Identifiler Plus","TPOX","","","","","","","","",""
"FSR","Identifiler Plus","D18S51","","","","","","","","",""
"FSR","Identifiler Plus","D5S818","","","","","","","","",""
"FSR","Identifiler Plus","FGA","","","","","","","","",""
"DSR","Identifiler Plus","D8S1179","","","","","","","","",""
"DSR","Identifiler Plus","D21S11","","","","","","","","",""
"DSR","Identifiler Plus","D7S820","","","","","","","","",""
"DSR","Identifiler Plus","CSF1PO","","","","","","","","",""
"DSR","Identifiler Plus","D3S1358","","","","","","","","",""
"DSR","Identifiler Plus","TH01","","","","","","","","",""
"DSR","Identifiler Plus","D13S317","","","","","","","","",""
"DSR","Identifiler Plus","D16S539","","","","","","","","",""
"DSR","Identifiler Plus","D2S1338","","","","","","","","",""
"DSR","Identifiler Plus","D19S433","","","","","","","","",""
"DSR","Identifiler Plus","vWA","","","","","","","","",""
"DSR","Identifiler Plus","TPOX","","","","","","","","",""
"DSR","Identifiler Plus","D18S51","","","","","","","","",""
"DSR","Identifiler Plus","D5S818","","","","","","","","",""
"DSR","Identifiler Plus","FGA","","","","","","","","",""
"M2SR","Identifiler Plus","D8S1179","","","","","","","","",""
"M2SR","Identifiler Plus","D21S11","","","","","","","","",""
"M2SR","Identifiler Plus","D7S820","","","","","","","","",""
"M2SR","Identifiler Plus","CSF1PO","","","","","","","","",""
"M2SR","Identifiler Plus","D3S1358","","","","","","","","",""
"M2SR","Identifiler Plus","TH01","","","","","","","","",""
"M2SR","Identifiler Plus","D13S317","","","","","","","","",""
"M2SR","Identifiler Plus","D16S539","","","","","","","","",""
"M2SR","Identifiler Plus","D2S1338","","","","","","","","",""
"M2SR","Identifiler Plus","D19S433","","","","","","","","",""
"M2SR","Identifiler Plus","vWA","","","","","","","","",""
"M2SR","Identifiler Plus","TPOX","","","","","","","","",""
"M2SR","Identifiler Plus","D18S51","","","","","","","","",""
"M2SR","Identifiler Plus","D5S818","","","","","","","","",""
"M2SR","Identifiler Plus","FGA","","","","","","","","",""
