U,U,U,U,weight,product,genotype prob
11,11,11,11,0.275405964,0.000906558,0.016170004
8,11,11,11,0.221748332,0.000729932,0.058350659
11,99,11,11,0.221748332,0.000729932,NA
8,8,11,11,0.093699124,0.000308431,0.052640669
8,99,11,11,0.093699124,0.000308431,NA
99,99,11,11,0.093699124,0.000308431,NA
11,11,8,11,1.89E-22,6.22E-25,0.058350659
11,11,11,99,1.89E-22,6.22E-25,NA
8,11,8,11,1.30E-24,4.26E-27,0.210562675
11,99,8,11,1.30E-24,4.26E-27,NA
8,11,11,99,1.30E-24,4.26E-27,NA
11,99,11,99,1.30E-24,4.26E-27,NA
8,8,8,11,7.45E-27,2.45E-29,0.189957754
8,99,8,11,7.45E-27,2.45E-29,NA
99,99,8,11,7.45E-27,2.45E-29,NA
8,8,11,99,7.45E-27,2.45E-29,NA
8,99,11,99,7.45E-27,2.45E-29,NA
99,99,11,99,7.45E-27,2.45E-29,NA
11,11,8,8,1.02E-70,3.35E-73,0.052640669
11,11,8,99,1.02E-70,3.35E-73,NA
11,11,99,99,1.02E-70,3.35E-73,NA
8,11,8,8,2.25E-75,7.41E-78,0.189957754
11,99,8,8,2.25E-75,7.41E-78,NA
8,11,8,99,2.25E-75,7.41E-78,NA
11,99,8,99,2.25E-75,7.41E-78,NA
8,11,99,99,2.25E-75,7.41E-78,NA
11,99,99,99,2.25E-75,7.41E-78,NA
